address_zero_based,plc_address,unsigned_16,signed_16,hex
876,40877,0,0,0x0000
877,40878,0,0,0x0000
878,40879,0,0,0x0000
879,40880,0,0,0x0000
880,40881,0,0,0x0000
881,40882,0,0,0x0000
882,40883,0,0,0x0000
883,40884,0,0,0x0000
884,40885,0,0,0x0000
885,40886,0,0,0x0000
886,40887,0,0,0x0000
887,40888,0,0,0x0000
888,40889,0,0,0x0000
889,40890,0,0,0x0000
890,40891,0,0,0x0000
891,40892,0,0,0x0000
892,40893,0,0,0x0000
893,40894,0,0,0x0000
894,40895,0,0,0x0000
895,40896,0,0,0x0000
896,40897,0,0,0x0000
897,40898,0,0,0x0000
898,40899,0,0,0x0000
899,40900,0,0,0x0000
900,40901,0,0,0x0000
901,40902,0,0,0x0000
902,40903,0,0,0x0000
903,40904,0,0,0x0000
904,40905,0,0,0x0000
905,40906,0,0,0x0000
906,40907,0,0,0x0000
907,40908,0,0,0x0000
908,40909,0,0,0x0000
909,40910,0,0,0x0000
910,40911,0,0,0x0000
911,40912,0,0,0x0000
912,40913,0,0,0x0000
913,40914,0,0,0x0000
914,40915,0,0,0x0000
915,40916,0,0,0x0000
916,40917,0,0,0x0000
917,40918,0,0,0x0000
918,40919,0,0,0x0000
919,40920,0,0,0x0000
920,40921,0,0,0x0000
921,40922,0,0,0x0000
922,40923,0,0,0x0000
923,40924,0,0,0x0000
924,40925,0,0,0x0000
925,40926,0,0,0x0000
926,40927,0,0,0x0000
927,40928,0,0,0x0000
928,40929,0,0,0x0000
929,40930,0,0,0x0000
930,40931,0,0,0x0000
931,40932,0,0,0x0000
932,40933,0,0,0x0000
933,40934,0,0,0x0000
934,40935,0,0,0x0000
935,40936,0,0,0x0000
936,40937,0,0,0x0000
937,40938,0,0,0x0000
938,40939,0,0,0x0000
939,40940,0,0,0x0000
940,40941,0,0,0x0000
941,40942,0,0,0x0000
942,40943,0,0,0x0000
943,40944,0,0,0x0000
944,40945,0,0,0x0000
945,40946,0,0,0x0000
946,40947,0,0,0x0000
947,40948,0,0,0x0000
948,40949,0,0,0x0000
